DAY_OF_WEEK,FL_DATE,OP_UNIQUE_CARRIER,OP_CARRIER_FL_NUM,ORIGIN_AIRPORT_ID,DEST_AIRPORT_ID,CRS_DEP_TIME,DEP_DELAY_NEW,CANCELLED,WEATHER_DELAY
1,8/5/2019,EV,4357,11618,10792,1200,0,0,
1,8/12/2019,EV,4357,11618,10792,1200,0,0,
1,8/19/2019,EV,4357,11618,10792,1200,0,0,
1,8/26/2019,EV,4357,11618,10792,1200,0,0,
1,8/5/2019,EV,4358,12266,15370,1450,0,0,
1,8/12/2019,EV,4358,12266,15370,1450,0,0,
1,8/19/2019,EV,4358,12266,15370,1450,0,0,
1,8/5/2019,EV,4359,12266,12448,2000,0,0,
1,8/12/2019,EV,4359,12266,12448,2000,14,0,
1,8/5/2019,EV,4360,14685,13930,1714,113,0,5
1,8/5/2019,EV,4361,11996,11618,600,0,0,
1,8/12/2019,EV,4361,11996,11618,600,116,0,0
1,8/19/2019,EV,4361,11996,11618,600,0,0,
1,8/26/2019,EV,4361,11996,11618,600,0,0,
1,8/19/2019,EV,4362,13931,13930,1845,0,0,
1,8/26/2019,EV,4363,14814,12266,1405,0,0,
1,8/5/2019,EV,4365,11042,12953,1048,0,0,
1,8/12/2019,EV,4365,11042,12953,1048,5,0,
1,8/19/2019,EV,4365,11042,12953,1048,0,0,
1,8/26/2019,EV,4365,11042,12953,1048,0,0,
1,8/26/2019,EV,4366,12266,10599,801,0,0,
1,8/5/2019,EV,4367,13930,14685,1415,4,0,
1,8/12/2019,EV,4367,13930,14685,1415,0,0,
1,8/19/2019,EV,4367,13930,14685,1415,0,0,
1,8/26/2019,EV,4367,13930,14685,1400,0,0,
1,8/5/2019,EV,4368,15016,11618,1725,0,0,
1,8/12/2019,EV,4368,15016,11618,1725,,1,
1,8/19/2019,EV,4368,15016,11618,1725,,1,
1,8/26/2019,EV,4368,15016,11618,1725,0,0,
1,8/26/2019,EV,4369,10599,12266,1130,0,0,
1,8/5/2019,EV,4371,12266,15919,1015,0,0,
1,8/12/2019,EV,4371,12266,15919,1015,0,0,
1,8/19/2019,EV,4371,12266,15919,1015,0,0,
1,8/26/2019,EV,4371,12266,15919,1015,0,0,
1,8/5/2019,EV,4372,12266,15412,805,0,0,
1,8/12/2019,EV,4372,12266,15412,805,0,0,
1,8/19/2019,EV,4372,12266,15412,805,0,0,
1,8/26/2019,EV,4372,12266,15412,805,27,0,0
1,8/19/2019,EV,4373,13930,11193,1554,43,0,0
1,8/26/2019,EV,4373,13930,11193,1554,9,0,0
1,8/5/2019,EV,4374,12448,12266,1900,42,0,0
1,8/12/2019,EV,4374,12448,12266,1900,0,0,
1,8/19/2019,EV,4374,12448,12266,1900,0,0,
1,8/26/2019,EV,4374,12448,12266,1900,0,0,
1,8/5/2019,EV,4375,13256,12266,1905,0,0,
1,8/12/2019,EV,4375,13256,12266,1905,0,0,
1,8/5/2019,EV,4376,12206,12266,1210,0,0,
1,8/12/2019,EV,4376,12206,12266,1210,0,0,0
1,8/19/2019,EV,4376,12206,12266,1210,0,0,0
1,8/26/2019,EV,4376,14193,12266,700,12,0,
1,8/5/2019,EV,4378,13930,12278,1255,0,0,
1,8/12/2019,EV,4378,13930,12278,1255,86,0,0
1,8/19/2019,EV,4378,13930,12278,1255,0,0,
1,8/26/2019,EV,4378,13930,12278,1253,151,0,0
1,8/5/2019,EV,4380,11618,11995,959,25,0,0
1,8/12/2019,EV,4380,11618,11995,959,0,0,
1,8/19/2019,EV,4380,11618,11995,959,0,0,
1,8/26/2019,EV,4380,11618,11995,1015,0,0,
1,8/26/2019,EV,4382,11193,13930,1135,1,0,
1,8/5/2019,EV,4382,11278,11042,615,0,0,
1,8/12/2019,EV,4382,11278,11042,615,0,0,
1,8/19/2019,EV,4382,11278,11042,615,0,0,
1,8/5/2019,EV,4383,12266,11540,945,0,0,
1,8/12/2019,EV,4383,12266,11540,945,16,0,0
1,8/19/2019,EV,4383,12266,11540,945,0,0,
1,8/26/2019,EV,4384,13930,14321,1400,97,0,0
1,8/5/2019,EV,4385,12266,15412,2005,0,0,
1,8/12/2019,EV,4385,12266,15412,2005,0,0,
1,8/19/2019,EV,4385,12266,15412,2005,0,0,
1,8/26/2019,EV,4385,12266,15412,2005,0,0,
1,8/5/2019,EV,4385,12915,12266,1745,0,0,
1,8/12/2019,EV,4385,12915,12266,1745,301,0,0
1,8/19/2019,EV,4385,12915,12266,1745,0,0,
1,8/5/2019,EV,4386,15370,13930,1040,18,0,0
1,8/12/2019,EV,4386,15370,13930,1040,0,0,
1,8/19/2019,EV,4386,15370,13930,1040,0,0,
1,8/26/2019,EV,4386,15370,13930,1025,139,0,0
1,8/19/2019,EV,4387,12266,10747,1420,0,0,
1,8/26/2019,EV,4387,12266,10747,1420,0,0,
1,8/5/2019,EV,4388,12266,12992,1202,0,0,
1,8/12/2019,EV,4388,12266,12992,1202,0,0,
1,8/19/2019,EV,4388,12266,12992,1202,0,0,
1,8/5/2019,EV,4388,12448,12266,730,0,0,
1,8/12/2019,EV,4388,12448,12266,730,0,0,0
1,8/19/2019,EV,4388,12448,12266,730,0,0,
1,8/5/2019,EV,4390,12266,13061,2130,0,0,
1,8/12/2019,EV,4390,12266,13061,2130,8,0,
1,8/19/2019,EV,4390,12266,13061,2130,0,0,
1,8/26/2019,EV,4390,12266,13061,2130,62,0,0
1,8/5/2019,EV,4390,15412,12266,1845,0,0,
1,8/12/2019,EV,4390,15412,12266,1845,0,0,
1,8/19/2019,EV,4390,15412,12266,1845,0,0,
1,8/26/2019,EV,4390,15412,12266,1845,16,0,
1,8/26/2019,EV,4391,13930,10785,1445,,1,
1,8/19/2019,EV,4391,13930,11042,915,49,0,49
1,8/5/2019,EV,4392,13061,12266,1205,0,0,
1,8/12/2019,EV,4392,13061,12266,1205,0,0,0
